  x (normalized)   y (normalized)    zenith (um)   horizon (um)      z-grad (um)    r-grad (um)
  -9.5069790e-01  -1.5971725e-01   6.7205628e-03  -7.8899134e-03   9.0393402e-02  -1.6602981e-02
  -9.5069790e-01  -1.4450609e-01   1.0506624e-02  -6.3682715e-03   8.9104856e-02  -1.6403304e-02
  -9.5069790e-01  -1.2929492e-01   1.3768975e-02  -4.9051454e-03   8.7972681e-02  -1.6226461e-02
  -9.5069790e-01  -1.1408375e-01   1.4983896e-02  -3.6612765e-03   8.6983076e-02  -1.6070971e-02
  -9.5069790e-01  -9.8872585e-02   1.5448207e-02  -2.5070210e-03   8.6066931e-02  -1.5926442e-02
  -9.5069790e-01  -8.3661415e-02   1.4291096e-02  -1.5553027e-03   8.5272646e-02  -1.5800824e-02
  -9.5069790e-01  -6.8450250e-02   1.0169030e-02  -8.3510794e-04   8.4603320e-02  -1.5695338e-02
  -9.5069790e-01  -5.3239084e-02   5.3147293e-03  -2.8341820e-04   8.4052045e-02  -1.5608994e-02
  -9.5069790e-01  -3.8027917e-02   8.1199907e-04   3.6519736e-05   8.3620330e-02  -1.5541417e-02
  -9.5069790e-01  -2.2816750e-02  -4.0247982e-03  -1.6205115e-05   8.3310515e-02  -1.5492203e-02
  -9.5069790e-01  -7.6055835e-03  -8.1782717e-03  -8.4984195e-05   8.3212240e-02  -1.5478563e-02
  -9.5069790e-01   7.6055835e-03  -8.1776532e-03  -1.4301243e-04   8.3212235e-02  -1.5478561e-02
  -9.5069790e-01   2.2816750e-02  -4.0229130e-03  -2.2748950e-04   8.3310499e-02  -1.5492199e-02
  -9.5069790e-01   3.8027917e-02   8.1686092e-04  -8.8800376e-05   8.3620304e-02  -1.5541411e-02
  -9.5069790e-01   5.3239084e-02   5.3211675e-03   1.8269591e-04   8.4052009e-02  -1.5608957e-02
  -9.5069790e-01   6.8450250e-02   1.0176912e-02   5.2785475e-04   8.4603274e-02  -1.5695268e-02
  -9.5069790e-01   8.3661415e-02   1.4299100e-02   1.2681701e-03   8.5272589e-02  -1.5800827e-02
  -9.5069790e-01   9.8872585e-02   1.5455521e-02   2.5611702e-03   8.6066863e-02  -1.5926858e-02
  -9.5069790e-01   1.1408375e-01   1.4990938e-02   4.1560900e-03   8.6982998e-02  -1.6071860e-02
  -9.5069790e-01   1.2929492e-01   1.3780136e-02   5.4839376e-03   8.7972593e-02  -1.6227336e-02
  -9.5069790e-01   1.4450609e-01   1.0523695e-02   6.8849368e-03   8.9104758e-02  -1.6403394e-02
  -9.5069790e-01   1.5971725e-01   6.7434153e-03   8.2542880e-03   9.0393293e-02  -1.6602103e-02
  -9.3548676e-01  -2.3577309e-01   6.1889740e-03  -9.6523461e-03   9.0911467e-02  -1.6718508e-02
  -9.3548676e-01  -2.2056192e-01  -9.3694844e-05  -1.0201638e-02   8.9076082e-02  -1.6435248e-02
  -9.3548676e-01  -2.0535075e-01  -4.3839673e-03  -1.0795151e-02   8.7311887e-02  -1.6159068e-02
  -9.3548676e-01  -1.9013959e-01  -5.2351622e-03  -1.0368583e-02   8.5596232e-02  -1.5889595e-02
  -9.3548676e-01  -1.7492842e-01  -3.8309019e-03  -9.3590978e-03   8.3960737e-02  -1.5632902e-02
  -9.3548676e-01  -1.5971725e-01  -1.0652152e-03  -8.1247075e-03   8.2511861e-02  -1.5404236e-02
  -9.3548676e-01  -1.4450609e-01   4.0512355e-03  -6.3376579e-03   8.1236076e-02  -1.5200944e-02
  -9.3548676e-01  -1.2929492e-01   8.3626794e-03  -4.7622731e-03   8.0084061e-02  -1.5016494e-02
  -9.3548676e-01  -1.1408375e-01   1.0590600e-02  -3.4430020e-03   7.9054966e-02  -1.4851701e-02
  -9.3548676e-01  -9.8872585e-02   1.1188301e-02  -2.2886486e-03   7.8143571e-02  -1.4705165e-02
  -9.3548676e-01  -8.3661415e-02   1.0222114e-02  -1.3009501e-03   7.7333846e-02  -1.4574898e-02
  -9.3548676e-01  -6.8450250e-02   6.5184078e-03  -5.3470392e-04   7.6636740e-02  -1.4463107e-02
  -9.3548676e-01  -5.3239084e-02   2.3051721e-04  -3.2529483e-05   7.6089215e-02  -1.4375184e-02
  -9.3548676e-01  -3.8027917e-02  -5.4625335e-03   2.4811636e-04   7.5691210e-02  -1.4310858e-02
  -9.3548676e-01  -2.2816750e-02  -1.1786189e-02   3.2288483e-04   7.5507255e-02  -1.4279796e-02
  -9.3548676e-01  -7.6055835e-03  -1.6987052e-02   2.9051202e-04   7.5476170e-02  -1.4273152e-02
