ze. angle  camRot angle   temp (C)     dx (mm)      dy (mm)      dz (mm)     Rx (rad)   Ry (rad)    Rz (rad)
0.000e+00   0.000e+00   -9.900e+01   -7.000e-05   -1.300e-04   -1.539e-02   -4.730e-06   2.200e-07   3.000e-08   
9.000e+01   0.000e+00   -9.900e+01   -4.286e-21   -1.114e-01   -8.100e-04   -1.123e-05   2.000e-08   4.000e-08   
9.000e+01   9.000e+01   -9.900e+01   -1.547e-01   -2.000e-05   -1.000e-05   -6.000e-08   7.240e-06   3.320e-05   
-9.900e+01   -9.900e+01   -1.000e+01   5.250e-03   -9.518e-03   3.758e-01   1.106e-05   -3.380e-07   -5.500e-08   
-9.900e+01   -9.900e+01   -5.000e+00   5.150e-03   -9.398e-03   2.966e-01   1.230e-05   -2.680e-07   -3.000e-08   
-9.900e+01   -9.900e+01   0.000e+00   5.050e-03   -9.278e-03   2.174e-01   1.353e-05   -1.980e-07   -5.000e-09   
-9.900e+01   -9.900e+01   5.000e+00   4.950e-03   -9.158e-03   1.382e-01   1.477e-05   -1.280e-07   2.000e-08   
-9.900e+01   -9.900e+01   1.000e+01   4.850e-03   -9.038e-03   5.895e-02   1.600e-05   -5.800e-08   4.200e-08   
-9.900e+01   -9.900e+01   1.500e+01   4.750e-03   -8.918e-03   -2.029e-02   1.724e-05   1.200e-08   6.200e-08   
-9.900e+01   -9.900e+01   2.000e+01   4.650e-03   -8.798e-03   -9.954e-02   1.848e-05   8.200e-08   8.200e-08   
-9.900e+01   -9.900e+01   2.500e+01   4.550e-03   -8.678e-03   -1.788e-01   1.972e-05   1.520e-07   1.020e-07   
