ze. angle  camRot angle   temp (C)     dx (mm)      dy (mm)      dz (mm)     Rx (rad)   Ry (rad)    Rz (rad)
0.000e+00   0.000e+00   -9.900e+01   8.018e-02   -3.700e-04   -8.572e-02   -2.663e-05   -9.094e-05   6.460e-06   
9.000e+01   0.000e+00   -9.900e+01   9.840e-03   -6.678e-02   4.000e-05   -4.400e-07   -1.246e-05   4.247e-05   
9.000e+01   9.000e+01   -9.900e+01   -3.645e-01   -7.920e-03   1.485e-02   -1.332e-05   5.796e-04   -6.969e-05   
-9.900e+01   -9.900e+01   -1.000e+01   -1.420e-04   -1.991e-02   4.395e-02   -1.832e-04   2.233e-06   7.710e-07   
-9.900e+01   -9.900e+01   -5.000e+00   -1.120e-04   -1.695e-02   3.723e-02   -1.555e-04   1.888e-06   7.060e-07   
-9.900e+01   -9.900e+01   0.000e+00   -8.200e-05   -1.398e-02   3.050e-02   -1.278e-04   1.543e-06   6.410e-07   
-9.900e+01   -9.900e+01   5.000e+00   -5.200e-05   -1.102e-02   2.378e-02   -1.000e-04   1.198e-06   5.760e-07   
-9.900e+01   -9.900e+01   1.000e+01   -2.200e-05   -8.051e-03   1.705e-02   -7.233e-05   8.500e-07   5.110e-07   
-9.900e+01   -9.900e+01   1.500e+01   8.000e-06   -5.086e-03   1.032e-02   -4.461e-05   5.000e-07   4.460e-07   
-9.900e+01   -9.900e+01   2.000e+01   3.800e-05   -2.121e-03   3.592e-03   -1.689e-05   1.500e-07   3.810e-07   
-9.900e+01   -9.900e+01   2.500e+01   6.800e-05   8.440e-04   -3.138e-03   1.083e-05   -2.000e-07   3.160e-07   
