ze. angle  camRot angle   temp (C)     dx (mm)      dy (mm)      dz (mm)     Rx (rad)   Ry (rad)    Rz (rad)
0.000e+00   0.000e+00   -9.900e+01   -1.000e-04   1.000e-04   0.000e+00   0.000e+00   0.000e+00   -1.591e-11   
9.000e+01   0.000e+00   -9.900e+01   0.000e+00   -2.110e-02   0.000e+00   0.000e+00   0.000e+00   -3.578e-09   
9.000e+01   9.000e+01   -9.900e+01   -2.130e-02   0.000e+00   0.000e+00   0.000e+00   0.000e+00   -5.050e-08   
-9.900e+01   -9.900e+01   -1.000e+01   6.500e-04   -1.783e-03   6.233e-01   2.587e-06   -4.210e-07   -1.280e-07   
-9.900e+01   -9.900e+01   -5.000e+00   5.500e-04   -1.388e-03   5.343e-01   3.232e-06   -3.560e-07   -1.080e-07   
-9.900e+01   -9.900e+01   0.000e+00   4.500e-04   -9.930e-04   4.453e-01   3.877e-06   -2.910e-07   -8.800e-08   
-9.900e+01   -9.900e+01   5.000e+00   3.500e-04   -5.980e-04   3.563e-01   4.522e-06   -2.260e-07   -6.800e-08   
-9.900e+01   -9.900e+01   1.000e+01   2.500e-04   -2.030e-04   2.673e-01   5.170e-06   -1.610e-07   -4.800e-08   
-9.900e+01   -9.900e+01   1.500e+01   1.500e-04   1.920e-04   1.783e-01   5.820e-06   -9.600e-08   -2.800e-08   
-9.900e+01   -9.900e+01   2.000e+01   5.000e-05   5.870e-04   8.930e-02   6.470e-06   -3.100e-08   -8.000e-09   
-9.900e+01   -9.900e+01   2.500e+01   -5.000e-05   9.820e-04   3.000e-04   7.120e-06   3.400e-08   1.200e-08   
